Date,DDoS-ALL,Phishing-ALL,Ransomware-ALL,Password Attack-ALL,Account Hijacking-ALL,Trojan-ALL,Vulnerability-ALL,Zero-day-ALL,Advanced persistent threat-ALL,Malware-ALL,Disinformation/Misinformation-ALL,Targeted Attack-ALL,Brute Force Attack-ALL,Backdoor-ALL,Botnet-ALL,Cryptojacking-ALL,DDoS,Phishing,Ransomware,Password_Attack,Account_Hijacking,Trojan,Vulnerability,Zero_day,Advanced_Persistent_Threat,Malware,Disinformation/Misinformation,Targeted_Attack,Brute_Force_Attack,Backdoor,Botnet,Cryptojacking,MITM,DNS_Spoofing,Dropper,Insider_Threat,Adversarial_Attack,Data_Poisoning,Deepfake,Supply_Chain,IoT_Device_Attack,Session_Hijacking,War_Conflict_All,Holidays,Solution_BLOCKCHAIN,Solution_ACCESS_CONTROL,Solution_ENCRYPTION,Solution_SUPPLY_CHAIN_RISK_MANAGEMENT,Solution_IDENTITY_MANAGEMENT,Solution_ML/DL,Solution_ANOMALY_DETECTION,Solution_CRYPTOGRAPHY,Solution_PENETRATION_TESTING,Solution_IDS/IPS,Solution_STATIC_ANALYSIS,Solution_DYNAMIC_ANALYSIS,Solution_MULTI_FACTOR_AUTHENTICATION,Solution_LEAST_PRIVILEGE,Solution_SESSION_MANAGEMENT,Solution_CAPTCHA,Solution_BLACKLISTING,Solution_RATE_LIMITING,Solution_GRAPHICAL_MODEL,Solution_HONEYPOT,Solution_SOFTWARE_DEFINED_NETWORK,Solution_GAME_THEORY,Solution_TRAFFIC_SHAPING,Solution_PACKET_FILTERING,Solution_BLACKHOLING,Solution_RANK_CORRELATION,Solution_STRONG_AUTHENTICATION,Solution_SSL/TLS,Solution_HTTPS,Solution_CONTINUOUS_AUTHENTICATION,Solution_IDENTITY_BASED_ENCRYPTION,Solution_DATA_SANITIZATION,Solution_OUTLIER_DETECTION,Solution_DATA_PROVENANCE,Solution_ADVERSARIAL_TRAINING,Solution_TRUSTWORTHY_AI,Solution_BAYESIAN_NETWORK,Solution_BEHAVIOR_BASED_DETECTION,Solution_FORMAL_VERIFICATION,Solution_SPLIT_MANUFACTURING,Solution_VULNERABILITY_MANAGEMENT,Solution_FILE_INTEGRITY_MONITORING,Solution_VPN,Solution_PRIVACY_PRESERVING,Solution_SECURE_BOOT,Solution_MERKLE_SIGNATURE,Solution_LIVENESS_DETECTION,Solution_3D_FACE_RECONSTRUCTION,Solution_BIOMETRICS,Solution_DIGITAL_WATERMARK,Solution_APPLICATION_WHITELISTING,Solution_DATA_BACKUPS,Solution_HIDDEN_MARKOV_MODEL,Solution_PATCH_MANAGEMENT,Solution_DATA_AUGMENTATION,Solution_DIMENSIONALITY_REDUCTION,Solution_DEFENSIVE_DISTILLATION,Solution_RRAM,Solution_SPATIAL_SMOOTHING,Solution_NOISE_INJECTION,Solution_TAINT_ANALYSIS,Solution_NETWORK_SEGMENTATION,Solution_USER_BEHAVIOR_ANALYTICS,Solution_DECEPTION_TECHNOLOGY,Solution_RISK_ASSESSMENT,Solution_DYNAMIC_RESOURCE_MANAGEMENT,Solution_SANDBOXING,Solution_DARKNET_MONITORING,Solution_VIRTUAL_KEYBOARDS,Solution_CODE_SIGNING,Solution_PUBLIC_KEY_INFRASTRUCTURE,Solution_MUTUAL_AUTHENTICATION,Solution_ONE_TIME_PASSWORD,Solution_DYNAMIC_BINARY_INSTRUMENTATION,Solution_PASSWORD_HASHING,Solution_DNSSEC,Solution_CERTIFICATE_PINNING,Solution_SECURE_SIMPLE_PAIRING,Solution_VULNERABILITY_ASSESSMENT,Solution_SIEM,Solution_STANDARDIZED_COMMUNICATION,Solution_CONTROL_FLOW_INTEGRITY,Solution_VULNERABILITY_SCANNER,Solution_PASSWORD_STRENGTH_METERS,Solution_PASSWORD_MANAGEMENT,Solution_PASSWORD_POLICY,Solution_GRAPHICAL_AUTHENTICATION,Solution_DATA_LOSS_PREVENTION,Solution_DATA_LEAKAGE_DETECTION/PREVENTION,Solution_ACTIVITY_MONITORING,Solution_MOVING_TARGET_DEFENSE,Solution_KEYSTROKE_DYNAMICS,Solution_ATTACK_TREE,Solution_DISTRIBUTED_LEDGERS,Solution_SOURCE_IDENTIFICATION,Solution_IMAGE_RECOGNITION,Solution_HYPERGAME,Solution_NLP/LLM
14-Nov,3.083868394,7.441520515,0.087498043,8.553337161,5.840121271,0.071238135,31.14505049,10.36799742,1.344737539,56.41740861,-0.00680911,84.32125315,0.34124907,6.47869296,8.90420184,0,34.74354797,9.022861443,0.172607788,13.30167601,0.553697,3.611814013,12.18281494,2.274737101,3.130010387,101.6233335,0.453583076,4.410177775,5.128944559,0.540410084,12.07078239,0,6.773477641,0.753974223,0,2.611486862,5.062871006,-0.107806881,0,2.117335732,0.709682478,1.015743895,261.1517326,39.68228859,0.766088834,45.60147891,131.6508889,0.437674745,3.398256849,17.58717244,10.87324425,198.5773419,1.959253674,38.06087497,6.299677015,3.487300524,1.303675402,1.505530592,0.60392029,1.905069713,0.862172566,0.38999765,1.624381807,2.100287316,2.599370858,12.78350265,0.107147777,0.803195946,4.263209878,0.31167466,3.383894358,3.053738981,2.557725766,0.521929916,3.805992575,-0.298301074,0.585138795,0.176566869,0.198667936,0,3.442727337,0.609244059,3.588575024,0.15282639,0.036174179,0.314916559,1.372506777,31.93387834,-0.002410621,0.115625403,0.460442484,0.150597,21.66783427,1.125481561,0.212088037,0.807631504,1.585419818,-0.63133462,0,1.324232854,0,-0.046007682,-0.05152027,0.096663411,1.855673321,0.094285128,0.158496039,0,55.0985428,0.068667936,-0.126369872,0,0.031143392,0.510435947,5.674399528,10.63225796,0.091953484,0.349835981,-0.421465089,1.259310123,0.1431,-0.130112427,3.514573767,0.67298119,0.1431,1.016932276,2.423924944,0.273420101,0.703698344,0.003512749,-0.010585872,-0.191908819,0.517392697,0.087926999,3.020200708,1.21875656,1.112909658,0.13,0.601787277,0.827377025,0,2.959275573
14-Dec,8.174814181,7.340780531,0.098324512,13.76892737,4.718703716,-0.316064769,30.6420001,11.27300069,1.590893472,58.89791675,-0.014937988,98.42076915,0.306742675,6.084196295,8.434129762,0,42.68866929,11.09925866,0.137083574,13.48922664,0.58962339,4.710863854,13.86912911,2.241636907,3.5647048,121.4380224,0.248297537,4.47831065,5.981542427,0.521496627,15.18586293,0,8.030114295,0.691115304,0,3.514632865,6.416595247,-0.113400172,0,2.56865802,1.057500125,0.89480461,257.6974935,43.80186951,0.61447374,50.57625036,145.5390296,0.557705123,4.678000153,20.12452356,14.04653499,230.0683238,1.706265472,44.48446054,7.64636909,4.869467463,1.545119953,1.93229436,0.66968238,2.404421174,1.086566707,0.540848494,1.609021594,3.378798996,3.740137111,14.02678497,0.094993339,0.751429047,4.754915486,0.431644365,3.33253032,3.098429132,2.98517985,0.636278133,4.789450004,-0.264638013,0.464988566,0.586606471,0.193438226,0,4.283883966,0.770367057,4.618989746,0.150248049,0.152750034,0.289956818,1.739700828,36.01716408,-0.038541772,0.112770893,1.236914648,0.15282639,27.06521068,1.787851808,0.18331057,0.918642489,1.81472898,-0.809328241,0,1.619097139,0,-0.051990869,-0.037723664,0.216672778,2.234733813,0.029259417,0.28595671,0,60.32178978,0.050338226,-0.194992828,0,0.146395448,0.676023481,5.947033396,11.21448386,0.454429592,0.359808892,-0.508624916,1.53065624,0.150597,-0.12881829,4.714050417,0.823913536,0.150597,0.985082052,2.981140435,0.276072345,0.845318736,0.128324952,-0.032596461,-0.31488396,0.649504339,0.076455271,3.140001257,1.381471193,1.156513905,0.1431,0.565434396,1.092031663,0,3.546180943
15-Jan,9.051420964,6.82989113,0.105118599,15.45989074,4.467866806,-0.655155439,29.39999474,11.74931363,1.764707008,60.22343657,-0.021805839,96.75771047,0.26648464,5.546623407,7.758040999,0,46.16861839,13.5250384,0.230999275,16.34334541,0.604268439,5.438682795,15.97073799,2.564597625,3.708988628,136.2181018,0.576091627,5.015280917,6.579434236,0.618829616,16.53385953,0,9.110183855,0.743808817,0,3.902025281,7.642449207,-0.115032128,0,2.947788338,1.558811004,1.279115115,254.2177535,47.77543625,0.459585944,56.46625716,158.8121853,0.679001308,5.659429123,22.21440386,15.5011006,253.7581579,2.107388127,50.06115374,8.369000885,5.547333683,1.64606645,1.958412921,0.998777789,2.541704853,1.285924432,0.560388798,1.676926755,3.818095538,4.274622626,15.36493552,0.081204544,1.072295966,5.534803068,0.586667768,2.986326777,3.105697394,3.24033313,0.750103185,5.280878191,-0.196402117,0.472903703,0.928043919,0.18292834,0,4.332408413,0.792266744,4.927793303,0.143420101,0.283085802,0.258794347,1.617984449,38.83160632,0.060096445,0.106818708,1.558632156,0.150248049,30.91089313,1.830349476,0.151911534,0.8909931,1.826665356,-0.945242653,0,1.795902082,0,0.204183988,-0.024175008,0.218181024,2.468846242,-0.030141505,0.292092612,0,66.11305837,0.03233134,0.009096297,0,0.145730435,0.704771557,5.963992876,12.79205264,0.627025201,0.357990245,-0.441810013,1.688948057,0.15282639,-0.123789019,6.24215789,0.865035241,0.15282639,1.056864389,3.023200163,0.270177194,0.847417528,0.266806187,-0.051428097,-0.286115068,0.648919687,0.063837058,3.833621713,1.806470228,1.09106231,0.280597,0.645753772,1.127459888,0.13,3.728010347
15-Feb,9.808824439,6.165193935,0.108079719,16.76796106,4.278077582,-0.940682379,27.30019007,11.82551585,1.86819798,61.51970131,-0.02733273,107.9582264,0.222257868,4.896409106,6.916819882,0,48.11551403,13.78248901,0.208593428,17.07175194,0.59932093,5.590559359,16.16306384,2.508324343,3.917574414,139.9236302,0.713823559,5.818095731,6.610153837,0.717864418,17.03104068,0,9.158940943,0.668918715,0,3.663617697,7.646444294,-0.113049925,0,2.830571974,1.563226464,1.316621117,251.2494549,47.56838322,0.306399349,57.56327557,162.7536598,0.797797836,5.732932321,22.80886402,15.59517664,262.1462637,2.065176872,50.46834301,8.748299474,6.040993272,1.977536304,1.923167238,0.965000323,2.389009018,1.326768652,0.561163408,1.587733597,3.928919559,4.74742091,16.64832294,0.066358493,1.028907315,6.1206578,0.508588798,3.105153784,2.949067908,3.302761088,0.860042635,5.844737213,-0.099097748,0.755840216,0.907496305,0.167981592,0,4.886108163,0.78820846,4.787882705,0.132972345,0.291895419,0.222984292,1.459900174,39.26965615,0.047067948,0.22825718,1.601418949,0.143420101,32.30468053,2.073686893,0.119095054,1.099378858,1.842608134,-0.909208344,0,1.831149467,0,0.48861584,-0.011255968,0.212993015,2.53548204,-0.08269809,0.288852146,0,64.76180834,0.015155202,0.12250362,0,0.14076001,0.709501679,5.950336621,12.43810297,0.693550493,0.345613756,-0.4684223,1.580742252,0.150248049,-0.115549003,7.170189878,0.776093718,0.150248049,1.11976256,3.000357914,0.256766242,0.823883914,0.283435112,-0.066833727,-0.351639613,0.758925909,0.050565554,3.742871472,1.994775252,0.899424005,0.29592639,0.598668597,1.285521493,0.1431,3.5798165
15-Mar,10.69622283,5.382010642,0.107502336,17.6321855,4.508924953,3.640563846,24.72136017,11.53933238,1.905293915,72.39074853,-0.031486949,117.6199439,0.175786038,4.164323962,5.95221628,0,50.36425469,14.30071989,0.572170362,18.83516526,0.576888545,6.009531485,15.9012652,2.282428659,3.817774389,142.9808968,1.00636759,5.856086191,6.659496862,0.685459807,17.0175725,0,9.858054094,0.581450061,0,3.889142341,7.970646544,-0.107874445,0,2.800160088,1.650303585,1.210877884,256.7005025,45.66498401,0.289339433,57.20369387,163.7383772,1.040780776,5.947097231,22.61961223,17.31198977,265.5911711,2.155231437,50.79076306,9.26721922,6.454057103,1.916533083,1.963751106,1.035650595,2.699912497,1.453725391,0.675025655,1.459827747,3.940793592,5.280516739,16.80392193,0.051006292,0.958990309,6.614307325,0.423060062,2.978943478,2.749629334,3.419863417,0.963186862,6.486868217,-0.108550883,0.68780787,0.861778563,0.149490072,0,4.697854693,0.760909751,4.808326686,0.119580194,0.291067213,0.184065714,1.533827321,38.53581131,0.033930261,0.230704089,1.591884493,0.132972345,34.15994879,2.160479962,0.215987372,1.053944674,1.86167839,-0.949501215,0,1.83793763,0,0.659946032,0.000708847,0.331934017,2.419389797,0.002481926,0.277270162,0,65.87282907,-0.000757977,0.250895103,0,0.262063827,0.692473738,6.429535893,13.25640518,0.762616741,0.584106503,-0.348320689,1.565934759,0.143420101,-0.10466652,7.510312972,0.672763536,0.143420101,1.172778038,2.919789152,0.236993398,0.907987144,0.289898092,0.051306218,-0.400062515,0.865163732,0.037104235,3.678910111,2.164406517,0.69996681,0.300845049,0.538331881,1.189211294,0.150597,3.469047543
15-Apr,11.4739947,9.715685358,0.103757621,18.40102194,4.911419838,3.954468534,21.55877246,10.93558729,1.88152144,78.03296858,-0.034281139,131.4068913,0.25868781,3.380517613,4.90550655,0,52.14719364,15.02810608,0.712224493,20.18718229,0.539392741,6.486320455,16.50860846,2.270649683,3.773421135,146.2130098,1.459466191,5.93459502,7.01412068,0.635731863,17.42492396,0,10.26151431,0.485284771,0,4.12544025,7.783309173,-0.099980279,0,2.488784587,1.839163886,1.209382639,255.7754302,48.94197519,0.295305325,58.19395952,165.9524714,1.158241999,6.081432732,23.69069726,18.0277619,273.0338526,1.871623602,50.94721822,10.08623042,7.042192838,1.934134192,1.971364054,0.968166321,3.018728252,1.554374693,0.917250907,1.56091765,4.253256414,5.751887482,16.47984337,0.035659123,0.867295294,6.880162677,0.333392397,2.965985897,2.907645737,3.482659612,1.05712106,7.210180074,-0.113802178,0.865944523,0.924779238,0.128363001,0,4.837490929,0.71351362,5.032476468,0.103939852,0.28158981,0.143517023,1.354346935,38.33927661,0.021088436,0.225985185,1.925546949,0.119580194,34.63489175,2.203779325,0.196710836,0.981435568,2.142991269,-0.827279763,0,1.688908848,0,0.824344823,0.011455915,0.329022898,2.502325085,-0.020930517,0.388528272,0,66.01656286,0.1149429,0.388920584,0,0.263375348,0.656374379,6.677929162,13.06518501,0.831897863,0.58122678,-0.329779618,1.405629973,0.132972345,-0.091732289,7.581114367,0.559583466,0.132972345,1.475308626,2.659683592,0.342088037,0.986440437,0.547017831,0.056092982,-0.431641252,0.83482286,0.02387592,3.410977583,2.572142459,0.629456331,0.296246491,0.46787888,1.456855775,0.15282639,4.205284055
15-May,11.21976955,9.324522043,0.097274648,17.14094408,5.06632264,4.118348696,18.06568034,10.06414909,1.803680568,83.19997757,-0.035767475,139.8129372,0.22553877,2.703676371,3.816302597,0,51.66742289,14.32191047,0.716906475,20.25838215,0.619464736,6.380840913,15.67995914,2.121929115,3.810300572,142.0255213,1.943470946,5.817215115,7.202858495,0.701904758,16.68879255,0,10.19678307,0.384177467,0,4.104345161,7.571206263,-0.089876121,0,2.393883099,1.75396324,1.071755439,252.3596023,52.673008,0.191815469,56.65937982,162.5165821,1.389209839,5.879891701,22.97395287,18.00112396,269.1212504,1.820227842,49.24961131,9.940753578,7.180249215,1.791951164,1.819074785,1.138385486,2.815100585,1.628327825,0.907736107,1.535071033,4.136875261,5.503564527,15.93377736,0.020776896,0.758750922,6.903027615,0.372689726,3.085344498,2.562631127,3.364696398,1.139948206,7.494855343,-0.115114278,0.930289175,0.983736468,0.105497748,0,4.838038814,0.649451693,4.843236978,0.086745349,0.264612454,0.10271769,1.412184178,36.82221709,0.00889814,0.214958615,1.99807675,0.103939852,35.04329366,2.336635371,0.173460629,0.886734306,2.321883122,-0.792462064,0,1.504115679,0,0.847573391,0.020784599,0.316532203,2.301897092,-0.0413738,0.377004722,0,66.30542638,0.115625403,0.401475899,0,0.256654456,0.604193725,6.001145228,11.99113131,0.899293936,0.561198226,-0.303199266,1.219186766,0.119580194,-0.077339512,7.507402191,0.570933899,0.119580194,1.403326897,2.34579808,0.45641057,0.927455188,0.692015061,0.05871828,-0.187112877,0.78247139,0.011254159,3.19750898,2.461940533,0.447113209,0.283220394,0.390434813,1.614030135,0.150248049,4.071738395
15-Jun,10.74437382,8.692739397,0.088521734,15.49264568,4.643745482,4.142290382,14.37992702,8.97793023,1.679513367,83.23428633,-0.036032153,156.3439905,0.318938471,1.913408962,2.721529961,0,51.63560653,13.86667711,0.829613065,20.33471056,0.572945589,6.934484099,14.84377598,2.08442273,3.559183048,139.916016,2.180771097,5.367056747,7.726636774,0.90040322,16.42561051,0,11.18262146,0.281655569,0,4.052229225,7.243177457,-0.078086096,0,2.816655267,2.014663762,1.175738295,251.6545691,50.81074729,0.092920134,58.36847669,162.0787843,1.355404601,6.232108023,24.04966433,18.35711609,271.0462709,1.649364823,47.71427675,10.15160182,7.599092477,2.260227905,1.8874422,1.057431169,2.807382667,1.676035809,1.131940704,1.625756946,3.938025966,6.284966932,16.37430463,0.006759586,0.76829846,6.676515229,0.296876631,3.350206904,2.695239045,3.187588614,1.470294192,7.286217424,-0.11284174,0.990290687,1.167285882,0.081754087,0,5.333390746,0.572312409,5.237624328,0.198667936,0.241394459,0.062916759,1.611872172,35.122197,-0.002340071,0.198585944,2.033411269,0.086745349,38.84955658,2.316106753,0.147331623,0.774901141,2.893229296,-0.737352272,0,1.422678356,0,0.9730519,0.158556876,0.295794613,2.442454985,0.071468459,0.355323386,0,68.52624076,0.112770893,0.530731406,0,0.24290602,0.539105324,6.252005331,11.14474903,1.092971583,0.52633658,-0.140180972,1.014812277,0.103939852,-0.062065828,7.825839167,0.724021272,0.103939852,1.296443534,1.992927176,0.445608534,0.846544808,0.701752116,0.0593195,-0.161423954,0.711880925,-0.000443051,2.939461968,2.548900584,0.399591004,0.263000295,0.439022109,1.767066155,0.143420101,4.509395149
15-Jul,10.86418645,12.67335283,0.077988459,19.65439775,4.084113676,4.169569187,10.76135122,7.730995353,1.517377485,86.56813562,-0.035189399,157.6016187,0.293430048,5.954766025,1.65458869,0,52.5379036,13.64096677,0.806160604,20.86336481,0.513889989,6.944728442,14.86589785,2.178134301,4.036401785,142.3599807,2.128918101,6.130902513,8.626238121,1.24203974,15.47597836,0,11.92439737,0.180936194,0,4.233758007,7.470656208,0.06486751,0,2.77265056,2.408854319,1.034050718,251.6904022,49.18039023,0.391126729,59.52560958,167.1224027,1.284317748,6.312139471,25.62631472,18.28679553,281.5074012,1.476107162,48.76104735,10.66681718,8.088078639,2.113870133,2.082349608,0.952849349,3.16621506,1.56869192,1.61976662,1.45860156,4.060920821,6.679680088,18.21955003,-0.006058782,1.04384229,7.242358626,0.219738547,3.118076862,3.113728999,3.22256395,1.423496753,6.939856775,0.022588797,1.044583327,1.227461778,0.18793217,0,5.729205762,0.48571768,6.035444212,0.193438226,0.34325643,0.025208419,1.703235202,35.96851302,0.117615742,0.177892962,1.904209998,0.198667936,40.4897065,2.388147793,0.11939557,0.651004258,3.240643973,-0.535632891,0,1.336704415,0,0.956791001,0.17779522,0.268256943,2.715683439,0.070882439,0.325150482,0,68.89918647,0.106818708,0.53113942,0,0.483245246,0.464352604,6.010219264,11.39866252,1.554492319,0.609171002,-0.089259077,0.800430868,0.086745349,0.083542463,7.567657271,1.16007927,0.086745349,1.681355202,1.745555548,0.422518444,0.748329121,0.819462902,0.058081013,-0.003461204,0.626993079,0.119042752,2.519035798,2.480697613,0.244833288,0.236912197,0.369580011,2.171786588,0.132972345,5.078004372
15-Aug,10.78609222,12.30570434,0.066168857,19.28034268,4.03792164,3.969033037,7.081792472,6.376824103,1.325933867,80.40155592,-0.033375238,156.8954355,0.261669566,5.713344401,0.644703885,0,54.06383386,13.84859847,0.760868571,21.93325269,0.445323249,6.735606499,14.98983061,2.157130686,4.294806595,145.2087495,2.14838286,6.444436627,9.277092191,1.212251415,15.11703007,0,12.36426377,0.084860671,0,4.68012117,7.041267397,0.09157973,0,2.969866807,2.81136019,1.005510376,266.2219398,45.93765717,0.347778862,62.37126089,174.9079872,1.311810048,6.994803591,27.59651062,18.55490315,292.5771964,1.825892052,50.84030947,11.79050649,8.525523825,2.178732036,2.025295786,0.96014023,3.414177763,1.685021662,1.610216946,1.394403666,4.039698566,7.274531525,18.4836844,0.242586451,0.960516468,7.024346924,0.273722114,3.365617518,4.096958088,3.507364833,1.338674155,6.609936488,0.043798616,1.222109203,1.27479623,0.177854479,0,6.253563104,0.393210894,5.832418782,0.31292834,0.324634511,0.12051466,1.924364872,36.49114204,0.122047501,0.153932489,1.860802554,0.193438226,42.35115024,2.311340295,0.090671254,0.519966936,3.966097864,-0.438016462,0,1.249226735,0,0.913452462,0.189775873,0.235425331,3.000118544,0.068228547,0.288240353,0,71.33786202,0.09825718,0.90557245,0,0.485053193,0.643144578,6.772305225,11.47522478,2.043226211,0.565446851,0.0892484,1.103474675,0.068667936,0.11208365,7.588263846,1.377729089,0.068667936,1.577335046,1.370554417,0.389061811,0.63748513,0.800818723,0.185223944,0.038809107,0.661784225,0.253008692,2.065081171,2.24489401,0.098206346,0.206325543,0.425994723,2.720881381,0.119580194,5.387412543
15-Sep,10.76222465,11.63564957,0.053546151,23.18528284,4.185211158,8.47947951,3.81773582,5.096765254,1.113856594,103.3195875,-0.030741236,165.7430076,0.225235045,5.454664607,-0.283533556,0,56.44525608,14.56000904,0.827279684,23.0881542,0.370253486,7.475328554,15.62167517,2.523513513,4.938526726,150.856379,2.651449658,6.353284232,10.53454809,1.279074381,15.35046571,0,13.49921562,0.12584688,0,4.631444382,7.313579445,0.112873336,0,2.918265425,3.209274669,1.239658757,273.5536655,45.4910677,0.298332416,66.03120925,183.6377737,1.197198816,7.04935719,30.60179162,19.36955292,309.4326963,1.845921691,52.85643609,13.18811167,10.33345878,2.491745786,2.073188473,0.837897816,3.914918862,1.539167781,1.55331573,1.454793451,4.899407579,8.611661874,20.82689479,0.259089568,0.856707734,7.097405985,0.344095661,3.767435584,4.508955526,3.548464684,1.352173593,6.724710134,0.191573494,1.275219215,1.699153351,0.163448924,0,6.777877819,0.55815846,6.184723332,0.311081592,0.298135749,0.102674838,2.15565063,38.8267739,0.252374659,0.127750089,1.925911778,0.18292834,44.8659151,2.462873339,0.062099233,0.516434338,4.19002343,-0.337021182,0,1.033020021,0,0.847044203,0.194865184,0.198814121,3.156106583,0.063793188,0.376374027,0,72.85253416,0.087604089,1.045395004,0.13,0.472128749,0.844763017,7.615013434,12.49987407,2.931789928,0.63913171,0.277227678,1.07310986,0.180338226,0.13440821,7.039161848,1.332282054,0.050338226,1.436396855,0.991936765,0.347278986,0.518600984,0.760014399,0.194095864,0.075688114,0.70324273,0.525987777,1.724569572,2.225323947,0.223295908,0.172607788,0.363988123,2.893440252,0.103939852,5.13425752
15-Oct,14.4578771,10.58353079,0.17057933,22.51417049,3.88221539,8.584496951,5.505552759,3.691809334,0.889571351,97.67622831,-0.027448398,162.6135322,0.185686925,4.958212855,-1.110441246,0,58.59517839,15.04347828,1.022231295,23.79492094,0.291583095,7.856818548,17.20168501,2.927552651,4.959719043,156.0635542,2.914666287,6.460648548,11.41022195,1.330842818,14.70004382,0,13.58569581,0.188959061,0.13,5.968691941,9.039252905,0.128651382,0,2.974276219,3.591119459,1.243202538,282.3156087,43.51440515,0.374880642,71.27422649,193.9454482,1.058132744,7.036974715,33.25849077,20.15165113,324.3996652,2.128570715,54.98525696,14.59031299,11.96059647,2.818705788,1.984096237,1.092742709,3.908138285,1.361724254,1.715505165,1.395500454,5.566163464,9.456729331,21.4509773,0.266169685,1.127578642,6.480236959,0.427108984,4.066048775,5.024484554,3.699000609,1.613757879,6.836265112,0.34882368,1.18476165,1.760100159,0.275580456,0,7.806424727,0.489866515,7.046255726,0.300087072,0.26534279,0.083538752,2.259138292,40.67403936,0.392097861,0.100353426,1.856732726,0.167981592,45.50322601,2.355366878,0.034521437,0.527761969,5.395855736,-0.236014794,0.13,1.457443378,0,0.761865444,0.193599608,0.289899608,3.29181262,0.057887569,0.344403113,0,72.76016305,0.075388185,1.819873452,0.1431,0.576332887,0.800876721,7.855000419,12.47706221,3.463543575,0.716274132,0.338092197,1.043588231,0.17543134,0.150468067,7.043795195,1.381411261,0.03233134,1.916460577,0.881422777,0.299256075,0.396047223,1.090490077,0.196257716,0.106608576,0.749458102,0.68588932,2.826372046,2.330951172,0.389177636,0.137083574,0.427262538,3.411940029,0.216745349,5.692390273
15-Nov,15.37022799,18.93911796,0.170791811,22.74474427,3.713052737,8.421477739,13.06942142,2.706594725,0.661027491,104.1669182,-0.023661391,161.1385984,0.144523009,4.362659892,-1.82134493,0,59.01225313,14.46729625,1.097020806,25.02716337,0.212032249,7.684454985,16.80764333,2.963361296,4.790000556,151.6581052,2.894121264,6.673456977,10.91602177,1.237509127,14.10366279,0,13.26595711,0.270091253,0.1431,6.373153986,8.841181433,0.138992081,0,2.635457646,3.947046187,1.109095864,312.8418893,40.1199767,0.332527627,73.59471521,194.8339919,1.031229296,6.964721245,34.78176528,20.75098998,323.9579473,2.439097716,55.62163804,14.78458478,12.0162025,2.758408617,1.744390338,0.989320832,3.974791618,1.161173352,1.740010501,1.590271743,5.199258857,9.583588162,20.08912224,0.2645567,1.4275351,6.670377728,0.389007705,3.842819184,4.867726142,3.583512923,1.890771,6.291576639,0.379884137,1.327806992,1.792149281,0.398231421,0,8.467924203,0.41370777,7.16024721,0.281189391,0.357868844,0.063810113,2.21450304,40.57635709,0.406085808,0.072685827,1.768769598,0.149490072,45.73170906,2.087950056,0.008665777,0.552123978,5.60922914,-0.008028601,0.1431,1.425701098,0,0.662348598,0.186652602,0.263179558,3.405193675,0.050835885,0.305297197,0,73.23422417,0.062132225,1.862307852,0.150597,0.682826625,0.737352753,7.915338693,14.23221967,3.69821555,0.664214088,0.382727499,0.885711118,0.165752202,0.160407896,6.526651351,1.674185209,0.145155202,1.791024109,0.945517503,0.247057772,0.273867421,1.055203484,0.192315651,0.261238735,1.058568195,0.83922403,2.53320311,2.186087139,0.326795862,0.100999275,0.371391636,3.666231628,0.211767936,5.353938044
15-Dec,20.83023695,19.01097288,0.29585929,22.38991834,9.029414767,8.282116116,16.72482057,1.438703735,0.435507193,96.57353153,-0.019543243,149.5570001,0.103139794,3.695782429,-2.406517897,0,62.95725279,16.09471353,1.031420742,27.23536666,0.264075521,7.54879413,17.02877651,3.876688237,4.813553901,161.1434579,2.818807105,6.744780854,11.89376096,1.116383532,15.03380999,0,13.44021357,0.235007488,0.150597,7.375975207,9.037681664,0.144128948,0,2.771457202,4.398968856,1.345126982,323.0102852,41.75139179,0.284434084,81.6253136,205.4986615,1.136079314,7.100751485,40.06925938,22.43786525,336.8516628,2.505399085,58.33573187,15.04589185,12.24576186,2.911388904,1.866323318,0.866561517,4.525535869,1.20584234,1.609864988,1.807857751,5.363066944,10.86025347,21.11077902,0.255168313,1.354669859,6.231393088,0.473046323,3.686627976,5.390611788,3.562068618,2.303359679,6.192609714,0.526442024,1.476713589,1.927229013,0.396670347,0,9.079236005,0.332753666,7.328032128,0.255745797,0.460406227,0.044140034,2.527896221,42.18115233,0.796492385,0.045604413,1.666539694,0.128363001,48.96539253,1.784636416,-0.01486429,0.847486067,6.242988329,0.09739983,0.280597,1.514362014,0,0.682912978,0.174800718,0.231236127,3.105080815,0.172964293,0.390942956,0,77.53385245,0.178337895,2.234629576,0.15282639,0.78818619,0.6580606,8.952182978,14.96489479,3.988473862,0.857433625,0.541417445,0.717050383,0.152068413,0.164541506,6.345422351,1.847456206,0.142342023,2.014400566,1.064837232,0.192667566,0.155689577,0.991789446,0.442998323,0.292568716,1.265010232,1.112048547,2.713354975,2.020126896,0.78084839,0.065493428,0.439966075,3.615107117,0.200935226,7.908712895
